Year,Word,Frequency
2022,keep,139
2022,still,138
2022,look,134
2022,could,132
2022,nigga,129
2022,pop,118
2022,thing,110
2022,think,110
2022,call,106
2022,put,105
2022,life,101
2022,heart,99
2022,ayy,98
2022,hold,96
2022,try,96
2022,run,96
2022,day,95
2022,good,93
2022,mind,93
2022,eyes,88
2022,around,88
2022,feelings,88
2022,even,87
2022,said,87
2022,give,87
2022,huh,86
2022,body,83
2022,home,81
2022,gon,81
2022,stay,80
2022,bout,80
2022,stop,79
2022,better,78
2022,man,78
2022,would,78
2022,two,77
2022,away,77
2022,might,76
2022,bad,76
2022,hand,75
2022,real,75
2022,new,74
2022,hit,72
2022,head,71
2022,deep,70
2022,little,70
2022,face,68
2022,always,68
2022,ever,68
2022,die,68
2022,turn,68
2022,light,67
2022,fall,67
2022,tonight,66
2022,pull,66
2022,wait,65
2022,wish,65
2022,hours,65
2022,damn,64
2022,yaka,64
2022,break,63
2022,maybe,62
2022,friends,62
2022,made,62
2022,loved,61
2022,gone,61
2022,shake,61
2022,nothing,60
2022,every,60
2022,somethin,60
2022,ready,60
2022,world,59
2022,okay,59
2022,best,58
2022,miss,58
2022,really,57
2022,god,57
2022,much,57
2022,alone,56
2022,everything,55
2022,talk,55
2022,pain,55
2022,dun,55
2022,wanted,54
2022,left,54
2022,ask,54
2022,ride,54
2022,touch,54
2022,used,54
2022,late,54
2022,find,53
2022,drop,53
2022,thought,53
2023,huh,236
2023,back,190
2023,good,161
2023,night,154
2023,fuck,149
2023,still,142
2023,keep,132
2023,bitch,132
2023,look,129
2023,eyes,129
2023,give,125
2023,think,125
2023,could,124
2023,shit,119
2023,day,115
2023,better,111
2023,life,111
2023,even,109
2023,heart,103
2023,thing,96
2023,watch,93
2023,man,93
2023,every,91
2023,niggas,90
2023,hands,89
2023,ayy,85
2023,call,84
2023,bout,79
2023,dance,78
2023,ever,78
2023,bad,76
2023,lose,73
2023,would,73
2023,put,73
2023,show,73
2023,mind,72
2023,god,72
2023,little,71
2023,stay,71
2023,talk,70
2023,world,69
2023,new,66
2023,always,66
2023,kiss,66
2023,said,65
2023,light,65
2023,hold,64
2023,stop,64
2023,head,64
2023,going,63
2023,away,62
2023,really,62
2023,someone,60
2023,girls,59
2023,everything,59
2023,try,58
2023,wish,58
2023,thought,58
2023,long,57
2023,money,57
2023,two,56
2023,hit,56
2023,around,55
2023,play,54
2023,gon,54
2023,place,53
2023,yes,53
2023,start,52
2023,tonight,52
2023,find,52
2023,fall,52
2023,bed,52
2023,break,51
2023,care,51
2023,friends,51
2023,lost,51
2023,pretty,51
2023,name,50
2023,crazy,50
2023,face,50
2023,mine,50
2023,ass,50
2023,whole,48
2023,feeling,48
2023,woah,48
2023,alone,48
2023,tryna,48
2023,next,47
2023,real,47
2023,big,47
2023,hurt,47
2023,ride,47
2023,hope,47
2023,maybe,47
2023,leave,46
2023,body,46
2023,end,46
2023,well,46
2023,made,46
2023,high,45
2024,back,245
2024,fuck,230
2024,nigga,216
2024,bitch,208
2024,could,185
2024,night,177
2024,look,177
2024,shit,172
2024,think,169
2024,huh,166
2024,life,161
2024,bout,140
2024,keep,139
2024,said,137
2024,good,129
2024,give,119
2024,ayy,114
2024,day,107
2024,wait,107
2024,mine,102
2024,hold,101
2024,put,97
2024,eyes,96
2024,every,95
2024,dance,95
2024,ever,91
2024,mind,91
2024,face,91
2024,really,90
2024,still,90
2024,little,90
2024,touch,88
2024,hit,87
2024,heart,87
2024,feeling,86
2024,turn,86
2024,okay,86
2024,better,83
2024,type,83
2024,try,80
2024,crazy,80
2024,show,80
2024,light,79
2024,even,79
2024,gon,79
2024,leave,79
2024,guess,78
2024,call,78
2024,run,77
2024,would,77
2024,bumpin,77
2024,much,76
2024,things,75
2024,friend,75
2024,made,74
2024,body,74
2024,two,73
2024,lies,73
2024,girls,73
2024,told,72
2024,taste,72
2024,woo,71
2024,pretty,71
2024,breathe,71
2024,world,70
2024,might,70
2024,god,70
2024,talkin,70
2024,gettin,70
2024,star,69
2024,bad,68
2024,away,68
2024,high,68
2024,stop,67
