Artist and Title,Artist,Title,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rex Orange County - Pluto Projector,Rex Orange County,Pluto Projector,481499966,246913,2019,Pop,['bedroom pop'],bedroom pop,Unknown,Unknown,eb68e578-d6e3-467c-8724-101612f421cc,https://open.spotify.com/track/4EWBhKf1fOFnyMtUzACXEc,USRC11902533,0.707,0.379,0.219,0.000691,5,0.118,-11.196,1,0.0307,79.786,0.188
Ozuna - Baila Baila Baila,Ozuna,Baila Baila Baila,479816422,161715,2019,Pop,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",puerto rican pop,reggaeton,trap latino,6557f93f-f29c-48e9-81f1-3d4b3c6e9080,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,QM6MZ1955291,0.0598,0.785,0.572,0,2,0.218,-7.504,1,0.123,100.016,0.49
Red Velvet - Psycho,Red Velvet,Psycho,479170224,124172,2019,Pop,"['k-pop', 'k-pop girl group']",k-pop,k-pop girl group,Unknown,35d1f391-3437-4b06-9d02-8a0a1676681b,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,KRA301900597,0.193,0.664,0.666,0,8,0.0854,-2.203,1,0.0446,139.987,0.405
Rammstein - Deutschland,Rammstein,Deutschland,478782612,236616,2019,Metal,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",german metal,industrial,industrial metal,838a3b47-bf90-4b6b-ae86-fb69952141e2,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0,DEUM71900524,5.54e-05,0.521,0.895,0.349,7,0.0985,-5.242,1,0.0442,120.117,0.237
Morgan Wallen - Cover Me Up,Morgan Wallen,Cover Me Up,470560864,199475,2019,World/Traditional,['contemporary country'],contemporary country,Unknown,Unknown,,,,,,,,,,,,,,
NIKI - lowkey,NIKI,lowkey,470147857,268907,2019,R&B/Soul,['indonesian r&b'],indonesian r&b,Unknown,Unknown,18ad1d8b-f786-4158-9c0f-19d64ad559d7,https://open.spotify.com/track/7ipqVwkp2MhZv0Ojzqy1NV,ZZOPM1900990,0.432,0.752,0.494,0,0,0.0869,-8.18,1,0.056,117.901,0.226
Billie Eilish - xanny,Billie Eilish,xanny,469967924,88477,2019,Pop,"['art pop', 'pop']",art pop,pop,Unknown,34056865-5de0-4216-9a1e-ad9a4ceaa14a,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY,USUM71900765,0.751,0.521,0.125,0.00207,9,0.265,-17.832,1,0.239,111.554,0.0528
Old Dominion - One Man Band,Old Dominion,One Man Band,469716087,567209,2019,World/Traditional,"['contemporary country', 'country', 'country road', 'modern country rock']",contemporary country,country,country road,a4583d7f-984e-4c7e-8647-1c9fc3db7105,https://open.spotify.com/track/7cA3PnUQDlUyBBwpRozQeo,USRN11800147,0.677,0.706,0.358,0,6,0.107,-8.331,1,0.0347,75.991,0.478
Maren Morris - The Bones,Maren Morris,The Bones,466295745,71682,2019,World/Traditional,"['classic texas country', 'contemporary country']",classic texas country,contemporary country,Unknown,8b0b45fb-d590-4585-bb2c-9a16a454eefd,https://open.spotify.com/track/1yTTMcUhL7rtz08Dsgb7Qb,USG4X1900026,0.286,0.561,0.597,0,11,0.0979,-6,0,0.0405,76.826,0.355
Post Malone - Saint-Tropez,Post Malone,Saint-Tropez,465317877,79123,2019,Hip-Hop/Rap,"['dfw rap', 'melodic rap', 'pop', 'rap']",dfw rap,melodic rap,pop,5f2c4885-f9fe-426a-9764-9fb78957b050,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,USUM71915733,0.0545,0.617,0.684,0,0,0.104,-3.618,1,0.0439,132.113,0.295
Baby Keem - HONEST,Baby Keem,HONEST,464966705,297451,2019,Hip-Hop/Rap,"['hip hop', 'rap']",hip hop,rap,Unknown,86e96e6a-49b5-46ef-b5d4-5807644b342c,https://open.spotify.com/track/58k32my5lKofeZRtIvBDg9,QM6N21900313,0.403,0.676,0.536,3.37e-05,2,0.105,-8.79,1,0.0432,79.037,0.373
Rich Music LTD - Quizas,Rich Music LTD,Quizas,463424772,102586,2019,World/Traditional,['urbano latino'],urbano latino,Unknown,Unknown,c40b0112-9194-40a0-8b5a-cc83ab1eb94d,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,QM9WM1900145,0.0258,0.727,0.815,0,3,0.231,-2.454,1,0.153,176.075,0.677
Summer Walker - Playing Games,Summer Walker,Playing Games,463415712,237169,2019,R&B/Soul,"['r&b', 'rap']",r&b,rap,Unknown,524bff37-60ea-4708-81a6-c321b9e9b7fc,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA,USUM71919639,0.603,0.726,0.408,0,11,0.225,-6.606,0,0.0614,115.918,0.459
Frank Ocean - In My Room,Frank Ocean,In My Room,462743808,212880,2019,Hip-Hop/Rap,"['lgbtq+ hip hop', 'neo soul']",lgbtq+ hip hop,neo soul,Unknown,62116f17-1bec-4d44-bcf1-d61c47d1cae7,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL,QM24S1926435,0.594,0.861,0.647,0.661,7,0.114,-7.425,1,0.0675,158.037,0.67
Pamungkas - To the Bone,Pamungkas,To the Bone,462548289,312320,2019,Pop,"['indonesian pop', 'indonesian singer-songwriter']",indonesian pop,indonesian singer-songwriter,Unknown,1247cd4d-1a46-4ee1-85f6-0cbc8aebb42c,https://open.spotify.com/track/5pvlSx0s2w3nKuyfrFnYBZ,FR2X41995983,0.509,0.669,0.725,1.95e-05,7,0.1,-6.551,0,0.027,139.995,0.942
H.E.R. - Could've Been,H.E.R.,Could've Been,462075940,262793,2019,R&B/Soul,"['r&b', 'rap']",r&b,rap,Unknown,8695509a-14d9-49bd-87f2-79e40e6e0f32,https://open.spotify.com/track/6oEVnWKgPqIEPc53OYDNqG,USRC11802598,0.649,0.45,0.352,3.8e-06,1,0.249,-11.733,0,0.267,102.679,0.408
24kGoldn - VALENTINO,24kGoldn,VALENTINO,460729617,87030,2019,Hip-Hop/Rap,"['cali rap', 'pop rap']",cali rap,pop rap,Unknown,a1d6c77c-5a82-4a0a-ae42-4fdddd853a8e,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,USQX91803621,0.199,0.746,0.717,0,9,0.132,-4.841,0,0.179,150.964,0.523
Post Malone - Enemies,Post Malone,Enemies,457178455,52886,2019,Hip-Hop/Rap,"['dfw rap', 'melodic rap', 'pop', 'rap']",dfw rap,melodic rap,pop,c619055c-e01e-4e2b-8fc2-a5c3e2635fb8,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF,USUM71915725,0.0588,0.542,0.674,0,6,0.0955,-4.169,1,0.21,76.388,0.667
Lil Tecca - Did It Again,Lil Tecca,Did It Again,452432970,182313,2019,Hip-Hop/Rap,"['melodic rap', 'pluggnb', 'rap']",melodic rap,pluggnb,rap,a0504358-ad03-474c-b406-e72e7956b3ce,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj,USUG11902664,0.185,0.686,0.561,0,10,0.114,-9.929,0,0.191,148.775,0.186
Hozier - Almost (Sweet Music),Hozier,Almost (Sweet Music),446170316,293260,2019,Rock,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",irish singer-songwriter,modern rock,pop,7ff19ad6-8fe5-4950-bee0-5f113129b714,https://open.spotify.com/track/7uttm8Iurm5uK67Vr9G2Sp,IEACJ1800127,0.0218,0.523,0.687,2.86e-06,7,0.203,-5.601,1,0.105,90.036,0.711
Sech - Que Mas Pues,Sech,Que Mas Pues,445761181,76815,2019,Pop,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",panamanian pop,reggaeton,trap latino,278bdc79-e916-4c2c-bacf-2b97adc876a8,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,QM9WM1900123,0.121,0.647,0.661,2.27e-06,11,0.12,-5.027,1,0.2,113.358,0.811
Carin Leon - Me la Avente,Carin Leon,Me la Avente,444810312,202120,2019,World/Traditional,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",corrido,musica mexicana,sad sierreno,2ac4596d-41ae-4e60-92a4-663cdcaa1be8,https://open.spotify.com/track/3nQ0FbZL6DTcGnu03Jpgzm,USDXS1905248,0.566,0.709,0.485,0,11,0.06,-4.546,0,0.0342,144.426,0.94
