Year,Word,Frequency,Category
2019,bitch,233,Profanity
2019,fuck,213,Profanity
2019,night,201,Party
2019,back,201,Other
2019,could,193,Other
2019,things,185,Other
2019,call,184,Other
2019,heart,180,Emotion
2019,shit,177,Profanity
2019,good,174,Other
2019,keep,171,Action
2019,look,168,Action
2019,think,159,Other
2019,ayy,157,Vocalization
2019,bad,149,Other
2019,said,143,Action
2019,ever,142,Time
2019,still,139,Time
2019,would,132,Other
2019,put,128,Action
2019,lose,126,Other
2019,leave,125,Action
2019,man,125,Person
2019,give,125,Action
2019,every,121,Other
2019,turn,120,Action
2019,friends,114,Person
2019,run,112,Action
2019,dance,112,Party
2019,ride,112,Other
2019,day,111,Time
2019,gon,110,Slang
2019,okay,108,Other
2019,even,105,Other
2019,away,105,Location
2019,hold,105,Action
2019,home,104,Location
2019,play,103,Other
2019,life,99,Other
2019,hate,96,Other
2019,stay,94,Action
2019,new,91,Other
2019,try,91,Other
2019,around,90,Location
2019,long,87,Other
2019,songs,87,Other
2019,woo,86,Other
2019,lie,85,Other
2019,woah,84,Vocalization
2019,nobody,84,Other
2019,lonely,84,Emotion
2019,show,83,Action
2019,eyes,83,Anatomy
2019,high,83,Other
2019,tryna,81,Slang
2019,falling,81,Action
2019,mind,80,Emotion
2019,bout,79,Other
2019,bring,79,Action
2019,everything,79,Action
2019,two,79,Other
2019,hands,78,Anatomy
2019,hope,78,Emotion
2019,feeling,77,Emotion
2019,thought,77,Other
2019,tonight,77,Party
2019,gone,76,Other
2019,start,76,Other
2019,huh,76,Vocalization
2019,walk,75,Action
2019,really,74,Other
2019,doo,74,Vocalization
2019,talk,74,Other
2019,always,73,Time
2019,hot,73,Other
2019,alone,73,Other
2019,head,70,Anatomy
2019,much,68,Other
2019,hit,68,Other
2019,touch,67,Other
2019,face,67,Anatomy
2019,find,67,Other
2019,better,65,Other
2019,mine,64,Other
2019,low,64,Other
2019,care,64,Other
2019,money,64,Wealth
2019,end,63,Other
2019,please,63,Other
2019,break,63,Other
2019,dream,62,Emotion
2019,hurt,62,Emotion
2019,lil,62,Slang
2019,stop,61,Action
2019,wait,60,Other
2019,real,60,Other
2019,wrong,59,Other
2019,whole,58,Other
2019,might,58,Other
2020,bitch,316,Profanity
2020,nigga,288,Profanity
2020,keep,228,Action
2020,back,216,Other
2020,shit,208,Profanity
2020,fuck,203,Profanity
2020,look,180,Action
2020,day,180,Time
2020,night,176,Party
